Scheme Name,Crisil Rank,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
UTI Nifty200 Momentum 30 Index Fund - Direct Plan - GrowthIndex Funds/ETFs,-,2419.41,3.41%,5.69%,11.28%,22.48%,19.22%,17.41%,8.91%,-,-,-
Quant Tax Plan - Direct Plan - GrowthELSS,5,4605.77,3.15%,6.20%,15.07%,21.97%,14.19%,15.11%,17.41%,39.15%,25.57%,25.43%
JM Flexi Cap Fund - Direct - GrowthFlexi Cap Fund,5,544.96,3.02%,5.88%,15.84%,25.67%,25.52%,28.32%,18.06%,31.61%,17.59%,20.73%
JM Flexi Cap Fund - GrowthFlexi Cap Fund,5,544.96,2.99%,5.79%,15.53%,25.03%,24.67%,27.14%,17.06%,30.53%,16.64%,19.53%
UTI Nifty Next 50 Index Fund - Direct Plan - GrowthIndex Funds/ETFs,-,2454.84,2.92%,2.89%,8.12%,20.11%,9.57%,4.68%,4.62%,20.22%,9.26%,-
HDFC Top 100 Fund - Direct Plan - GrowthLarge Cap Fund,5,25422.81,2.89%,2.93%,9.91%,16.16%,16.47%,19.47%,14.95%,27.00%,13.15%,16.57%
HDFC Top 100 Fund - GrowthLarge Cap Fund,5,25422.81,2.88%,2.88%,9.75%,15.83%,16.00%,18.77%,14.27%,26.26%,12.49%,15.83%
Invesco India Infrastructure Fund - Direct Plan - GrowthSectoral/Thematic,5,600.52,2.78%,6.81%,15.24%,27.83%,30.39%,26.77%,20.01%,36.15%,21.28%,23.18%
HDFC Mid-Cap Opportunities Fund - Direct Plan - GrowthMid Cap Fund,5,47236.04,2.77%,6.66%,18.32%,30.07%,30.40%,33.90%,22.88%,36.72%,19.02%,24.38%
UTI S&P BSE Low Volatility Index Fund - Direct Plan - GrowthIndex Funds/ETFs,-,173.33,2.77%,0.72%,9.61%,17.38%,15.41%,17.79%,-,-,-,-
HDFC Mid-Cap Opportunities Fund - GrowthMid Cap Fund,5,47236.04,2.76%,6.60%,18.13%,29.64%,29.79%,32.98%,22.03%,35.77%,18.16%,23.38%
Invesco India Infrastructure Fund - GrowthSectoral/Thematic,5,600.52,2.74%,6.66%,14.84%,26.92%,29.13%,24.98%,18.29%,34.29%,19.57%,21.31%
Nippon India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,5,34468.92,2.70%,7.53%,19.53%,34.59%,35.66%,36.94%,26.68%,46.82%,23.96%,31.76%
Nippon India Small Cap Fund - GrowthSmall Cap Fund,5,34468.92,2.69%,7.45%,19.29%,34.05%,34.88%,35.74%,25.56%,45.54%,22.85%,30.51%
SBI Long Term Equity Fund - Direct Plan - GrowthELSS,5,15374.28,2.57%,4.35%,13.79%,23.94%,24.08%,26.78%,16.90%,28.81%,15.76%,17.66%
SBI Long Term Equity Fund - Regular Plan - GrowthELSS,5,15374.28,2.56%,4.28%,13.58%,23.49%,23.48%,25.92%,16.15%,27.99%,15.04%,16.94%
Parag Parikh Tax Saver Fund - Direct Plan - GrowthELSS,5,1932.37,2.45%,4.73%,9.68%,14.85%,17.31%,19.83%,15.25%,27.02%,-,-
Nippon India Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,5,15855.03,2.45%,4.06%,11.60%,21.32%,21.44%,23.62%,17.79%,30.60%,14.66%,18.85%
Parag Parikh Tax Saver Fund - Regular Plan - GrowthELSS,5,1932.37,2.43%,4.63%,9.38%,14.22%,16.38%,18.37%,13.78%,25.42%,-,-
Nippon India Large Cap Fund - GrowthLarge Cap Fund,5,15855.03,2.43%,3.99%,11.38%,20.84%,20.76%,22.60%,16.81%,29.53%,13.69%,17.80%
HDFC Large and Mid Cap Fund - Direct Plan - GrowthLarge & Mid Cap Fund,5,11197.54,2.40%,5.04%,16.00%,25.33%,24.18%,25.75%,18.46%,33.05%,17.13%,15.20%
HDFC Large and Mid Cap Fund - Regular - GrowthLarge & Mid Cap Fund,5,11197.54,2.39%,4.97%,15.78%,24.83%,23.46%,24.70%,17.53%,32.11%,16.54%,14.82%
Motilal Oswal Midcap Fund - Direct Plan - GrowthMid Cap Fund,5,5734.93,2.35%,8.41%,14.67%,27.67%,29.25%,28.62%,27.49%,40.47%,20.70%,-
Motilal Oswal Midcap Fund - GrowthMid Cap Fund,5,5734.93,2.33%,8.31%,14.35%,26.96%,28.26%,27.17%,26.04%,38.80%,19.29%,-
Bank of India Manufacturing & Infrastructure Fund - Direct Plan - GrowthSectoral/Thematic,5,119.26,2.30%,6.89%,15.98%,27.20%,28.54%,27.17%,20.28%,34.76%,19.16%,20.72%
Bank of India Manufacturing & Infrastructure Fund - GrowthSectoral/Thematic,5,119.26,2.27%,6.79%,15.64%,26.49%,27.49%,25.54%,18.73%,33.06%,17.66%,19.19%
Canara Robeco Equity Tax Saver Fund - Direct Plan - GrowthELSS,3,5981.03,2.27%,2.85%,8.32%,15.35%,13.46%,12.84%,8.43%,25.15%,16.39%,17.99%
ICICI Prudential Focused Equity Fund - Direct Plan - GrowthFocused Fund,5,4854.26,2.16%,2.34%,11.06%,20.19%,18.04%,20.68%,14.43%,27.68%,15.11%,16.83%
ICICI Prudential Focused Equity Fund - Regular Plan - GrowthFocused Fund,5,4854.26,2.16%,2.26%,10.74%,19.48%,17.03%,19.15%,12.95%,26.08%,13.76%,15.54%
ICICI Prudential Large & Mid Cap Fund- Direct Plan - GrowthLarge & Mid Cap Fund,5,9364.53,2.11%,3.15%,11.73%,18.84%,17.43%,20.93%,18.67%,32.10%,16.67%,17.39%
ICICI Prudential Large & Mid Cap Fund- GrowthLarge & Mid Cap Fund,5,9364.53,2.09%,3.08%,11.50%,18.36%,16.78%,19.90%,17.68%,31.04%,15.72%,16.33%
